Name,Contact,Location
UD Crane Service,09-6504700,Mandalay
UD Crane Service,06-6504900,Naypyidaw
Shwe Pyae Sone Crane and Forklift Rental Service,09-4202400090,Yangon
Ko Myo Lay Crane,09-766115741,Yangon
ဘောင်းထက် ကားကရိန်းဝန်ဆောင်မှု,09-776858440,Mandalay
ဘောင်းထက် ကားကရိန်းဝန်ဆောင်မှု,09-402604587,
ချင်းတွမ်း ကရိန်းဝန်ဆောင်မှု,09-977077877,
နန်းလဲ့,09-402668488,Mandalay
Aung Thein Than Forklift Rental Services,952-4076469,Mandalay
A-1 U Tun Crane Services,09-5100605,Yangon
A-1 U Tun Crane Services,9785100605,Yangon
A-1 U Tun Crane Services,9965100605,Yangon
A-1 U Tun Crane Services,18202869,Yangon
Moe Nanda Crane Service,09-2037079,Mandalay
Moe Nanda Crane Service,09-459900181,Mandalay
UWT Crane Service,09-759699791,Mandalay
UWT Crane Service,09-756005645,Mandalay
KTP Crane Service,09-202659009,Mandalay
BL Ko Aung Phyo,09-253554536,Mandalay
BL Ko Aung Phyo,09-795558578,Mandalay
UTL Crane Rental Services,09-782013003,Mandalay
UTL Crane Rental Services,09-2013003,Mandalay
UTL Crane Rental Services,02-5153878,Mandalay
ကိုကျော်စွာအောင် Truvic Machinery,09-43053017,Yangon
ဆော်ဝေနှင့် Perfect Living and Shwe Sapel,09-5050070,Mandalay
ဆော်ဝေနှင့် Perfect Living and Shwe Sapel,09-796691478,Mandalay
ဆော်ဝေနှင့် Perfect Living and Shwe Sapel,09-698645257,Mandalay
မြေထောက်ကရိန်းငှါး,09-784670304,Mandalay
Aung Myo Tun,09-2450607,Mandalay
Aung Myo Tun,9663905588,Mandalay
မဂျူရီ,09-777775772,Mandalay
မဂျူရီ,09-898999989,Mandalay
စွမ်းအင် သဠုံ့,09-974429788,Mandalay
ကိုအားချစ်းမောင်,09-423251945,Mandalay / Bagan
ကိုအားချစ်းမောင်,09-958689191,Mandalay / Bagan
ကိုအားချစ်းမောင်,09-663346301,Mandalay / Bagan
Ko Han Zaw Tun Crane 1,09-777422233,Mandalay
ကျော်ထူး ကရိန်းဝန်ဆောင်မှု,09-262321,Mandalay
ကျော်ထူး ကရိန်းဝန်ဆောင်မှု,09-782062321,Mandalay
ကျော်ထူး ကရိန်းဝန်ဆောင်မှု,09-777800122,Mandalay
KT Crane,09-5012261,-
KT Crane,09-962200092,-
Myanmar Kinan Rental Services,09-458688804,Yangon
Myanmar Kinan Rental Services,09-762271903,Yangon
မျိုးမင်းသူ နှင့် ညီများ ကရိန်းဝန်ဆောင်မှု,09-420001205,-